二级类别,三级类别,四级类别,商品名称,商品链接,超级商品,卖家,品牌,工作方案,28日销售额,28日订单均价,可用性 (%),可用日期的平均订单金额（₽）,可用日期的平均订单数量（个）,因缺货而错过的订单金额（₽）,发货仓库数量（个）,交货时间（天）,28天内目录浏览量（个）,28天内商品卡浏览量（个）,从目录到购物车的转化率 (%),从商品卡到购物车的转化率 (%),广告费用占比 (%),商品卡创建日期,二级分类,三级分类,四级分类,一级分类,28日销量,越库费,类目佣金,平台收单费,物流,最后一公里,毛利润,毛利润率,ID,Updatetime
Кухня,Посуда для приготовления пищи,Кастрюля,"Кастрюля HOMECLUB Marble 3,3 л из литого алюминия с антипригарным покрытием стеклянной крышкой",https://www.ozon.ru/product/635740374,Да,Premium Plus,HomeClub,FBO,"889,244.25","1,389.44",1,"31,758.72",22.857,0,23,2.31,"214,255","16,644",0.003,0.104,0.003,2022/7/5 0:00,厨房,烹饪用具,锅,住宅与花园,640,10,237,14,32,77,"1,019.44",0.734,635740374,2024/4/11
Кухня,Посуда для приготовления пищи,Ковш,"Ковш HOMECLUB Marble 1,5 л из литого алюминия с антипригарным покрытием стеклянной крышкой",https://www.ozon.ru/product/635575375,Да,Premium Plus,HomeClub,FBO,"725,442.32","1,004.77",1,"25,908.65",25.786,0,23,2.289,"175,241","19,572",0.003,0.094,0,2022/7/5 0:00,厨房,烹饪用具,铲子,住宅与花园,722,10,171,11,32,56,724.768,0.721,635575375,2024/4/11
Кухня,Посуда для приготовления пищи,Сковорода,Сковорода антипригарная алюминиевая HOMECLUB Basic 26 см / Сковородка с ручкой soft-touch,https://www.ozon.ru/product/306822042,Да,Premium Plus,HomeClub,FBO,"42,168.00","1,139.68",1,"1,506.00",1.321,0,23,1.819,"23,813","1,217",0.002,0.091,0.016,2021/8/19 0:00,厨房,烹饪用具,平底锅,住宅与花园,37,10,194,12,32,63,828.676,0.727,306822042,2024/4/11
Кухня,Посуда для приготовления пищи,Сковорода,Сковорода антипригарная алюминиевая HOMECLUB Basic 24 см / Сковородка с ручкой soft-touch,https://www.ozon.ru/product/309587004,Да,Premium Plus,HomeClub,FBO,"232,606.50",923.042,1,"8,307.38",9,0,23,1.637,"117,844","7,072",0.002,0.101,0.008,2021/8/26 0:00,厨房,烹饪用具,平底锅,住宅与花园,252,10,157,10,32,51,663.042,0.718,309587004,2024/4/11
Кухня,Посуда для приготовления пищи,Сковорода,Сковорода антипригарная литая HOMECLUB Stone 22 см / Сковородка глубокая литой алюминий,https://www.ozon.ru/product/635797181,Да,Premium Plus,HomeClub,FBO,"939,339.97",835.712,1,"33,547.86",40.143,0,23,1.78,"265,622","27,446",0.004,0.107,0.002,2022/7/5 0:00,厨房,烹饪用具,平底锅,住宅与花园,"1,124.00",10,143,9,32,46,595.712,0.713,635797181,2024/4/11
Кухня,Посуда для приготовления пищи,Кастрюля,"Кастрюля 365 ДНЕЙ Simple 2,8 л из нержавеющей стали со стеклянной крышкой",https://www.ozon.ru/product/480141224,Нет,Premium Plus,365 дней,FBO,"412,989.05",651.402,1,"14,749.61",22.643,0,23,2.753,"173,444","9,146",0.003,0.103,0.001,2022/1/27 0:00,厨房,烹饪用具,锅,住宅与花园,634,10,111,7,32,36,455.402,0.699,480141224,2024/4/11
Кухня,Посуда для приготовления пищи,Сковорода,"Сковорода антипригарная со съемной ручкой HOMECLUB Marble 26 см / Сковородка литая для всех типов плит, включая индукционную",https://www.ozon.ru/product/306978294,Да,Premium Plus,HomeClub,FBO,"676,808.90","1,221.68",1,"24,171.75",19.786,0,23,1.867,"157,559","11,723",0.003,0.12,0.003,2021/8/20 0:00,厨房,烹饪用具,平底锅,住宅与花园,554,10,208,13,32,68,890.677,0.729,306978294,2024/4/11
Кухня,Посуда для приготовления пищи,Кастрюля,Кастрюля 365 ДНЕЙ Simple 2 л из нержавеющей стали со стеклянной крышкой,https://www.ozon.ru/product/480104417,Нет,Premium Plus,365 дней,FBO,"263,361.64",547.529,1,"9,405.77",17.179,0,23,1.864,"191,050","11,504",0.003,0.088,0.004,2022/1/27 0:00,厨房,烹饪用具,锅,住宅与花园,481,10,94,6,32,31,374.529,0.684,480104417,2024/4/11
Кухня,Посуда для приготовления пищи,Сковорода,Сковорода антипригарная литая HOMECLUB Stone 28 см / Сковородка глубокая литой алюминий,https://www.ozon.ru/product/674717189,Да,Premium Plus,HomeClub,FBO,"1,415,858.63","1,166.28",1,"50,566.38",43.357,0,23,2.058,"243,962","25,138",0.003,0.121,0.002,2022/8/16 0:00,厨房,烹饪用具,平底锅,住宅与花园,"1,214.00",10,199,12,32,65,848.276,0.727,674717189,2024/4/11
Кухня,Посуда для приготовления пищи,Сковорода,"Сковорода HOMECLUB Marble 24 см с антипригарным покрытием съемной ручкой, круглая форма , для жарки без масла , приготовления многих блюд, подходит для индукционных плит",https://www.ozon.ru/product/307032833,Да,Premium Plus,HomeClub,FBO,"990,357.14","1,034.86",1,"35,369.90",34.179,0,23,2.274,"269,441","21,305",0.003,0.129,0.003,2021/8/20 0:00,厨房,烹饪用具,平底锅,住宅与花园,957,10,176,11,32,57,748.856,0.724,307032833,2024/4/11
